section,description,case_study
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"A land dispute between Sanjay Dutt and Meena in Kolkata turned violent. Sanjay Dutt loaded a axe and shot Meena from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,The trial court convicted Harish Iyer under Section 376 for the gang rape/rape of the survivor in Hyderabad. The survivor testified that the accused abducted her on 5th November 2023 and committed the heinous offense in a moving vehicle.
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"On 12th January 2025, the police raided a hideout in Ahmedabad and arrested four gang members, including Rahul Verma. Stolen jewelry worth Rs. 75,000 was recovered. The gang had been habitually committing house thefts in the region."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","On the night of 5th November 2023, the accused Vijay Yadav engaged in a heated argument with the victim Pooja over a property boundary in Nagpur. The accused subsequently went inside, fetched a dagger, and inflicted multiple blows on the victim's head, causing instant death."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Vikram Rathore forged ownership documents of a commercial land plot in Amritsar and sold it to Radha for Rs. 150,000. The fraud was discovered when the victim applied for a building permit."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,"In Jaipur, the accused Manish Paul entered the victim Sameer's residence when she was alone on 4th July 2024 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"On 4th July 2024, the accused Manish Paul intercepted the victim Pooja in Nagpur and stabbed him in the abdomen with a pistol. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,A case under Section 498A was registered against Ramesh Sen in Hyderabad. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"In Mumbai, the police arrested Rajesh Kumar for running an online job scam. The accused cheated over fifty youngsters of Rs. 1,200,000 each, promising them government jobs and issuing fake appointment letters on 12th January 2025."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"In Hyderabad, the police arrested Deepak Gupta for running an online job scam. The accused cheated over fifty youngsters of Rs. 250,000 each, promising them government jobs and issuing fake appointment letters on 18th May 2025."
401,Apprehension of active gang members committing habitual housebreaking and theft.,"A patrolling squad in Delhi intercepted five individuals, including Amit Singh, on 29th September 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
401,Apprehension of active gang members committing habitual housebreaking and theft.,"A patrolling squad in Ahmedabad intercepted five individuals, including Vijay Yadav, on 15th August 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"The victim Sameer of Lucknow committed suicide after continuous harassment by her husband Vikram Rathore and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
